Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,MSPB-1 Achievement Threshold,MSPB-1 Benchmark,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points,MSPB-1 Measure Score
"370001","HILLCREST MEDICAL CENTER","1120 SOUTH UTICA AVENUE","Tulsa","OK","74104","TULSA","0.987666","0.829199","0.982124","0.989529","0 out of 10","0 out of 9","0 out of 10"
"220110","BRIGHAM AND WOMEN'S HOSPITAL","75 FRANCIS STREET","Boston","MA","02115","SUFFOLK","0.987666","0.829199","1.023988","1.031983","0 out of 10","0 out of 9","0 out of 10"
"220010","LAWRENCE GENERAL HOSPITAL","ONE GENERAL STREET","Lawrence","MA","01842","ESSEX","0.987666","0.829199","1.078845","1.061730","0 out of 10","0 out of 9","0 out of 10"
"220017","CARNEY HOSPITAL","2100 DORCHESTER AVENUE","Boston","MA","02124","SUFFOLK","0.987666","0.829199","1.031005","1.008316","0 out of 10","1 out of 9","1 out of 10"
"230236","METRO HEALTH HOSPITAL","5900 BYRON CENTER AVENUE, SW","Wyoming","MI","49519","KENT","0.987666","0.829199","0.940875","0.943566","3 out of 10","0 out of 9","3 out of 10"
"220052","SIGNATURE HEALTHCARE BROCKTON HOSPITAL","680 CENTER STREET","Brockton","MA","02302","PLYMOUTH","0.987666","0.829199","0.979668","1.003294","0 out of 10","0 out of 9","0 out of 10"
"230105","MCLAREN - NORTHERN MICHIGAN","416 CONNABLE AVE","Petoskey","MI","49770","EMMET","0.987666","0.829199","0.967106","0.947680","3 out of 10","1 out of 9","3 out of 10"
"200018","AROOSTOOK MEDICAL CENTER","PO BOX 151","Presque Isle","ME","04769","AROOSTOOK","0.987666","0.829199","0.847671","0.892070","6 out of 10","0 out of 9","6 out of 10"
"200052","NORTHERN MAINE MEDICAL CENTER","194 E MAIN STREET","Fort Kent","ME","04743","AROOSTOOK","0.987666","0.829199","0.879157","0.849516","8 out of 10","5 out of 9","8 out of 10"
"200009","MAINE MEDICAL CENTER","22 BRAMHALL ST","Portland","ME","04102","CUMBERLAND","0.987666","0.829199","0.998927","1.003839","0 out of 10","0 out of 9","0 out of 10"
"230066","MERCY HEALTH MUSKEGON","1700 CLINTON STREET","Muskegon","MI","49442","MUSKEGON","0.987666","0.829199","1.023077","0.959091","2 out of 10","3 out of 9","3 out of 10"
"230081","MUNSON HEALTHCARE CADILLAC HOSPITAL","400 HOBART ST","Cadillac","MI","49601","WEXFORD","0.987666","0.829199","0.911109","0.881467","7 out of 10","3 out of 9","7 out of 10"
"230277","HURON VALLEY-SINAI HOSPITAL","ONE WILLIAM CARLS DRIVE","Commerce","MI","48382","OAKLAND","0.987666","0.829199","0.973267","0.994563","0 out of 10","0 out of 9","0 out of 10"
"230041","MCLAREN BAY REGION","1900 COLUMBUS AVE","Bay City","MI","48708","BAY","0.987666","0.829199","1.023767","1.026325","0 out of 10","0 out of 9","0 out of 10"
"230015","THREE RIVERS HEALTH","701 S HEALTH PARKWAY","Three Rivers","MI","49093","ST. JOSEPH","0.987666","0.829199","0.948306","0.976584","1 out of 10","0 out of 9","1 out of 10"
"230002","ST MARY MERCY HOSPITAL","36475 FIVE MILE ROAD","Livonia","MI","48154","WAYNE","0.987666","0.829199","1.019188","0.992502","0 out of 10","1 out of 9","1 out of 10"
"230100","TAWAS ST JOSEPH HOSPITAL","200 HEMLOCK","Tawas City","MI","48764","IOSCO","0.987666","0.829199","0.872136","0.927149","4 out of 10","0 out of 9","4 out of 10"
"220073","MORTON HOSPITAL","88 WASHINGTON STREET","Taunton","MA","02780","BRISTOL","0.987666","0.829199","1.026373","1.018404","0 out of 10","0 out of 9","0 out of 10"
"220063","LOWELL GENERAL HOSPITAL","295 VARNUM AVENUE","Lowell","MA","01854","MIDDLESEX","0.987666","0.829199","0.999872","0.988978","0 out of 10","0 out of 9","0 out of 10"
"220171","LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON","41 & 45 MALL ROAD","Burlington","MA","01805","MIDDLESEX","0.987666","0.829199","1.029056","0.999034","0 out of 10","1 out of 9","1 out of 10"
"230141","MCLAREN FLINT","401 S BALLENGER HIGHWAY","Flint","MI","48532","GENESEE","0.987666","0.829199","0.968881","0.985972","1 out of 10","0 out of 9","1 out of 10"
